make,model,VClass
Alfa Romeo,Spider Veloce 2000,Two Seaters
Ferrari,Testarossa,Two Seaters
Dodge,Charger,Subcompact Cars
Dodge,B150/B250 Wagon 2WD,Vans
Subaru,Legacy AWD Turbo,Compact Cars
Subaru,Loyale,Compact Cars
Toyota,Corolla,Compact Cars
Volkswagen,Golf III / GTI,Compact Cars
Volkswagen,Jetta III,Compact Cars
Volvo,240,Compact Cars
Audi,100,Midsize Cars
BMW,740i,Midsize Cars
BMW,740il,Midsize Cars
BMW,750il,Midsize Cars
Buick,Century,Midsize Cars
Buick,Regal,Midsize Cars
Buick,Riviera,Midsize Cars
Cadillac,Eldorado,Midsize Cars
Cadillac,Seville,Midsize Cars
Chevrolet,Lumina,Midsize Cars
Chrysler,New Yorker,Midsize Cars
CX Automotive,XM v6,Midsize Cars
CX Automotive,XM v6a,Midsize Cars
Nissan,Maxima,Midsize Cars
Dodge,Dynasty,Midsize Cars
Dodge,Spirit,Midsize Cars
Ford,Taurus,Midsize Cars
Ford,Taurus SHO,Midsize Cars
Dodge,B350 Wagon 2WD,Vans
Ford,Thunderbird,Midsize Cars
Hyundai,Sonata,Midsize Cars
Infiniti,Q45,Midsize Cars
Infiniti,Q45 Full-Active Suspension,Midsize Cars
Lexus,LS 400,Midsize Cars
Buick,Century,Midsize Cars
Buick,Regal,Midsize Cars
Buick,Riviera,Midsize Cars
Cadillac,Eldorado,Midsize Cars
Cadillac,Seville,Midsize Cars
Chevrolet,Lumina,Midsize Cars
Chrysler,New Yorker,Midsize Cars
CX Automotive,XM v6,Midsize Cars
CX Automotive,XM v6a,Midsize Cars
Nissan,Maxima,Midsize Cars
Dodge,Dynasty,Midsize Cars
Dodge,Spirit,Midsize Cars
Ford,Taurus,Midsize Cars
Ford,Taurus SHO,Midsize Cars
Dodge,B350 Wagon 2WD,Vans
Ford,Thunderbird,Midsize Cars
Hyundai,Sonata,Midsize Cars
Infiniti,Q45,Midsize Cars
Infiniti,Q45 Full-Active Suspension,Midsize Cars
Lexus,LS 400,Midsize Cars
Mercury,Cougar,Midsize Cars
Mercury,Sable,Midsize Cars
Mazda,626,Midsize Cars
Mazda,929,Midsize Cars
Oldsmobile,Cutlass Ciera,Midsize Cars
Oldsmobile,Cutlass Supreme,Midsize Cars
Oldsmobile,Toronado,Midsize Cars
Plymouth,Acclaim,Midsize Cars
Ford,E150 Club Wagon,Vans
Pontiac,Grand Prix,Midsize Cars
Rolls-Royce,Brooklands/Brklnds L,Midsize Cars
Rolls-Royce,Turbo R/Turbo R(lwb),Midsize Cars
Rolls-Royce,Silver Spirit II/Silver Spur,Midsize Cars
Toyota,Camry,Midsize Cars
Volkswagen,Passat,Midsize Cars
Volvo,850,Midsize Cars
Volvo,940,Midsize Cars
Volvo,960,Midsize Cars
Buick,LeSabre,Large Cars
Buick,Park Avenue,Large Cars
Buick,Roadmaster,Large Cars
Cadillac,DeVille/60 Special,Large Cars
Cadillac,Fleetwood,Large Cars
Chevrolet,Caprice,Large Cars
Chrysler,Concorde,Large Cars
Chrysler,Fifth Avenue/Imperial,Large Cars
Dodge,Intrepid,Large Cars
Eagle,Vision,Large Cars
Ford,LTD Crown Victoria,Large Cars
Lincoln,Continental,Large Cars
Mercury,Grand Marquis,Large Cars
Lincoln,Town Car,Large Cars
Mercedes-Benz,300SD,Large Cars
Mercedes-Benz,300SE,Large Cars
Mercedes-Benz,400SEL,Large Cars
Mercedes-Benz,500SEL,Large Cars
Oldsmobile,Eighty-Eight,Large Cars
Oldsmobile,Ninety-Eight,Large Cars
GMC,G15/25 Rally 2WD,Vans
Pontiac,Bonneville,Large Cars
Rolls-Royce,Silver Spur II Mpw Touring L,Large Cars
Saab,9000,Large Cars
BMW,525i Touring,Small Station Wagons
Audi,100 quattro Wagon,Small Station Wagons
Chevrolet,Cavalier Wagon,Small Station Wagons
CX Automotive,XM v6 Break,Small Station Wagons
Ford,Escort Wagon,Small Station Wagons
Honda,Accord Wagon,Small Station Wagons
Mercury,Tracer Wagon,Small Station Wagons
Saturn,SW,Small Station Wagons
Subaru,Legacy Wagon,Small Station Wagons
Subaru,Legacy Wagon AWD,Small Station Wagons
Subaru,Legacy Wagon AWD Turbo,Small Station Wagons
Subaru,Loyale Wagon,Small Station Wagons
Toyota,Corolla Wagon,Small Station Wagons
Buick,Century Wagon,Midsize-Large Station Wagons
Eagle,Summit Wagon,Midsize-Large Station Wagons
Ford,Taurus Wagon,Midsize-Large Station Wagons
Mercury,Sable Wagon,Midsize-Large Station Wagons
Mitsubishi,Expo,Midsize-Large Station Wagons
Mitsubishi,Expo.LRV,Midsize-Large Station Wagons
Oldsmobile,Cutlass Cruiser,Midsize-Large Station Wagons
Mitsubishi,Diamante Wagon,Midsize-Large Station Wagons
Plymouth,Colt Vista,Midsize-Large Station Wagons
Toyota,Camry Wagon,Midsize-Large Station Wagons
Volkswagen,Passat Wagon,Midsize-Large Station Wagons
Volvo,240 Wagon,Midsize-Large Station Wagons
Volvo,940 Wagon,Midsize-Large Station Wagons
GMC,G35 Rally 2WD,Vans
Volvo,960 Wagon,Midsize-Large Station Wagons
Buick,Roadmaster Wagon,Midsize-Large Station Wagons
Chevrolet,Caprice Wagon,Midsize-Large Station Wagons
Chevrolet,S10 Pickup 2WD,Small Pickup Trucks
GMC,Safari 2WD (passenger),Vans
Nissan,Truck 2WD,Small Pickup Trucks
Dodge,Ram 50 Pickup 2WD,Small Pickup Trucks
GMC,Sonoma 2WD,Small Pickup Trucks
Isuzu,Pickup 2WD,Small Pickup Trucks
Mitsubishi,Truck 2WD,Small Pickup Trucks
Chevrolet,C1500 Pickup 2WD,Standard Pickup Trucks
Chevrolet,Pickup 2500 2WD,Standard Pickup Trucks
Dodge,Dakota Pickup 2WD,Standard Pickup Trucks
Dodge,D100/D150 Pickup 2WD,Standard Pickup Trucks
Dodge,D250 Pickup 2WD,Standard Pickup Trucks
Jeep,Comanche Pickup 4WD,Standard Pickup Trucks
Ford,F150 Pickup 2WD,Standard Pickup Trucks
Toyota,Van 2WD,Vans
Ford,F250 Pickup 2WD,Standard Pickup Trucks
Ford,Ranger Pickup 2WD,Standard Pickup Trucks
GMC,Sierra 1500 2WD,Standard Pickup Trucks
Dodge,Colt,Subcompact Cars
Volkswagen,Vanagon 2WD,Vans
GMC,Sierra 2500 2WD,Standard Pickup Trucks
Mazda,B2200/B2600i,Standard Pickup Trucks
Toyota,T100 2WD,Standard Pickup Trucks
AM General,Post Office DJ5 2WD,Special Purpose Vehicle 2WD
Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks
AM General,Post Office DJ8 2WD,Special Purpose Vehicle 2WD
Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks
Chevrolet,Suburban C10 2WD,Special Purpose Vehicle 2WD
Chevrolet,S10 Pickup 4WD,Standard Pickup Trucks
Nissan,Truck 4WD,Standard Pickup Trucks
Dodge,Dakota Pickup 4WD,Standard Pickup Trucks
Dodge,Power Ram 50 4WD,Standard Pickup Trucks
Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks
Dodge,W250 Pickup 4WD,Standard Pickup Trucks
Jeep,Comanche Pickup 2WD,Standard Pickup Trucks
Ford,F150 Pickup 4WD,Standard Pickup Trucks
Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD
Ford,Ranger Pickup 4WD,Standard Pickup Trucks
GMC,Sierra 1500 4WD,Standard Pickup Trucks
GMC,Sierra 2500 4WD,Standard Pickup Trucks
GMC,Sonoma 4WD,Standard Pickup Trucks
Isuzu,Pickup 4WD,Standard Pickup Trucks
Mitsubishi,Truck 4WD,Standard Pickup Trucks
Mazda,B2600i 4x4,Standard Pickup Trucks
Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks
Chevrolet,Astro AWD (cargo),Vans
Chevrolet,Astro 2WD (cargo),Vans
Chevrolet,G10/20 Van 2WD,Vans
Chevrolet,G30 Van 2WD,Vans
Dodge,B150/B250 Van 2WD,Vans
Dodge,B350 Van 2WD,Vans
Ford,Aerostar Van,Vans
Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD
Ford,Aerostar Van AWD,Vans
Ford,E150 Econoline 2WD,Vans
Ford,E250 Econoline 2WD,Vans
GMC,Vandura G15/25 2WD,Vans
GMC,Vandura G35 2WD,Vans
GMC,Safari AWD (cargo),Vans
GMC,Safari 2WD (cargo),Vans
Chevrolet,Astro AWD (passenger),Vans
Chevrolet,Astro 2WD (passenger),Vans
Chevrolet,Sport Van G10/20 2WD,Vans
Chevrolet,Sport Van G30 2WD,Vans
Ford,Aerostar Wagon,Vans
Ford,Aerostar Wagon AWD,Vans
Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD
GMC,Rally G15/25 2WD,Vans
GMC,Rally G35 2WD,Vans
GMC,Safari AWD (passenger),Vans
Toyota,Previa,Vans
Toyota,Previa All-Trac,Vans
Volkswagen,Eurovan,Vans
Chevrolet,Lumina/APV Minivan 2WD,Special Purpose Vehicles
Chevrolet,Suburban 1500 2WD,Special Purpose Vehicles
Chevrolet,S10 Blazer 2WD,Special Purpose Vehicles
Nissan,Pathfinder 2WD,Special Purpose Vehicles
Nissan,Quest,Special Purpose Vehicles
Chrysler,Town and Country 2WD,Special Purpose Vehicles
Dodge,Caravan C/V/Grand Caravan 2WD,Special Purpose Vehicles
Dodge,Caravan/Grand Caravan 2WD,Special Purpose Vehicles
Dodge,Ramcharger 2WD,Special Purpose Vehicles
Jeep,Cherokee 2WD,Special Purpose Vehicles
Ford,Explorer 2WD,Special Purpose Vehicles
Mercury,Villager FWD Van,Special Purpose Vehicles
Mercury,Villager FWD Wagon,Special Purpose Vehicles
Geo,Tracker Convertible 2WD,Special Purpose Vehicles
GMC,Suburban 1500 2WD,Special Purpose Vehicles
GMC,Jimmy 2WD,Special Purpose Vehicles
Isuzu,Amigo 2WD,Special Purpose Vehicles
Isuzu,Rodeo 2WD,Special Purpose Vehicles
Mazda,MPV,Special Purpose Vehicles
Pontiac,Trans Sport 2WD,Special Purpose Vehicles
Plymouth,Voyager/Grand Voyager 2WD,Special Purpose Vehicles
Suzuki,Samurai 2WD,Special Purpose Vehicles
Suzuki,Sidekick Hardtop 2WD,Special Purpose Vehicles
Suzuki,Sidekick 2WD,Special Purpose Vehicles
Oldsmobile,Silhouette 2WD,Special Purpose Vehicles
Toyota,4Runner 2WD,Special Purpose Vehicles
Chevrolet,Blazer 1500 4WD,Special Purpose Vehicles
Chevrolet,Suburban 1500 4WD,Special Purpose Vehicles
Chevrolet,S10 Blazer 4WD,Special Purpose Vehicles
"E. P. Dutton, Inc.",Funeral Coach,Special Purpose Vehicles
Nissan,Pathfinder 4WD,Special Purpose Vehicles
Chrysler,Town and Country 4WD,Special Purpose Vehicles
Dodge,Caravan/Grand Caravan 4WD,Special Purpose Vehicles
Dodge,Ramcharger 4WD,Special Purpose Vehicles
Jeep,Cherokee 4WD,Special Purpose Vehicles
Jeep,Grand Cherokee 4WD,Special Purpose Vehicles
GMC,C15 Suburban 2WD,Special Purpose Vehicle 2WD
Jeep,Wrangler 4WD,Special Purpose Vehicles
Ford,Bronco 4WD,Special Purpose Vehicles
Ford,Explorer 4WD,Special Purpose Vehicles
Geo,Tracker Convertible 4WD,Special Purpose Vehicles
Geo,Tracker Van 4WD,Special Purpose Vehicles
GMC,Jimmy 4WD,Special Purpose Vehicles
GMC,Suburban 1500 4WD,Special Purpose Vehicles
GMC,Yukon 1500 4WD,Special Purpose Vehicles
Isuzu,Amigo 4WD,Special Purpose Vehicles
Isuzu,Trooper,Special Purpose Vehicles
Land Rover,Defender 110,Special Purpose Vehicles
Land Rover,Range Rover County,Special Purpose Vehicles
Land Rover,Range Rover County LWB,Special Purpose Vehicles
Mitsubishi,Montero,Special Purpose Vehicles
GMC,S15 Jimmy 2WD,Special Purpose Vehicle 2WD
Mazda,MPV 4x4,Special Purpose Vehicles
Mazda,Navajo,Special Purpose Vehicles
Mazda,Navajo 4x4,Special Purpose Vehicles
"PAS, Inc",Pas-Typhoon,Special Purpose Vehicles
Plymouth,Voyager/Grand Voyager 4WD,Special Purpose Vehicles
Subaru,Loyale AWD,Special Purpose Vehicles
Subaru,Loyale Wagon AWD,Special Purpose Vehicles
Suzuki,Samurai Soft-top 4WD,Special Purpose Vehicles
Suzuki,Sidekick Hardtop 4WD,Special Purpose Vehicles
Suzuki,Sidekick Soft-top 4WD,Special Purpose Vehicles
Oldsmobile,Bravada AWD,Special Purpose Vehicles
Toyota,Land Cruiser Wagon 4WD,Special Purpose Vehicles
Toyota,4Runner 4WD,Special Purpose Vehicles
Cadillac,Commercial Chassis,Special Purpose Vehicles
Chevrolet,Coachbuilder Wagon,Special Purpose Vehicles
Chevrolet,Postal Cab Chassis 2WD,Special Purpose Vehicles
Dodge,Dakota Cab Chassis 2WD,Special Purpose Vehicles
Dodge,D250 Cab Chassis 2WD,Special Purpose Vehicles
Buick,Coachbuilder Wagon,Special Purpose Vehicles
Toyota,Cab/Chassis 2WD,Special Purpose Vehicles
Acura,NSX,Two Seaters
Alfa Romeo,Spider,Two Seaters
Chevrolet,Corvette,Two Seaters
Nissan,300ZX,Two Seaters
Dodge,Viper,Two Seaters
Ferrari,Ferrari 348 TB/TS/Spider,Two Seaters
Ferrari,Ferrari 512 TR,Two Seaters
Honda,Civic Del Sol,Two Seaters
Jaguar,XJS Convertible,Two Seaters
Lotus,Esprit Turbo,Two Seaters
Mazda,MX-5 Miata,Two Seaters
Grumman Olson,Kubvan,Special Purpose Vehicles
Mazda,RX-7,Two Seaters
Mercedes-Benz,SL320,Two Seaters
Mercedes-Benz,SL500,Two Seaters
Mercedes-Benz,SL600,Two Seaters
Porsche,911 Carrera 4/2,Two Seaters
Porsche,968,Two Seaters
Toyota,MR2,Two Seaters
Audi,Cabriolet,Minicompact Cars
BMW,318i Convertible,Minicompact Cars
BMW,325i Convertible,Minicompact Cars
Mercury,Capri,Minicompact Cars
Jeep,Cherokee/Wagoneer,Special Purpose Vehicle 2WD
Mercedes-Benz,E320 Convertible,Minicompact Cars
Porsche,911 Carrera 4/2,Minicompact Cars
Porsche,911 Turbo,Minicompact Cars
Porsche,928 GTS,Minicompact Cars
Porsche,968,Minicompact Cars
Toyota,Paseo,Minicompact Cars
Toyota,Supra,Minicompact Cars
Acura,Integra,Subcompact Cars
Audi,90 quattro,Subcompact Cars
BMW,318i/318is,Subcompact Cars
BMW,325i/325is,Subcompact Cars
BMW,850ci,Subcompact Cars
BMW,850csi,Subcompact Cars
Chevrolet,Camaro,Subcompact Cars
Chevrolet,Cavalier,Subcompact Cars
Chevrolet,Sprint,Subcompact Cars
Chrysler,LeBaron Convertible,Subcompact Cars
Nissan,Sentra,Subcompact Cars
Nissan,300ZX 2x2,Subcompact Cars
Dodge,Stealth,Subcompact Cars
Eagle,Summit,Subcompact Cars
Eagle,Talon,Subcompact Cars
Plymouth,Voyager 2WD,Special Purpose Vehicle 2WD
Ferrari,Ferrari Mondial T/Cabriolet,Subcompact Cars
Ford,Aspire,Subcompact Cars
Ford,Mustang,Subcompact Cars
Ford,Probe,Subcompact Cars
Geo,Metro,Subcompact Cars
Geo,Metro XFI,Subcompact Cars
Honda,Civic,Subcompact Cars
Honda,Civic HB VX,Subcompact Cars
Honda,Prelude,Subcompact Cars
Hyundai,Excel,Subcompact Cars
Hyundai,Scoupe,Subcompact Cars
Infiniti,J30,Subcompact Cars
Jaguar,XJS Coupe,Subcompact Cars
Jaguar,XJS V12 Coupe,Subcompact Cars
Lexus,SC 300/SC 400,Subcompact Cars
Mazda,MX-3,Subcompact Cars
American Motors Corporation,Eagle 4DR Wagon,Special Purpose Vehicles
Mazda,MX-6,Subcompact Cars
Mercedes-Benz,E320 Coupe,Subcompact Cars
Mitsubishi,Mirage,Subcompact Cars
Mitsubishi,Eclipse,Subcompact Cars
Mitsubishi,3000 GT,Subcompact Cars
Chevrolet,K10 Blazer 4WD,Special Purpose Vehicle 4WD
Plymouth,Colt,Subcompact Cars
Plymouth,Laser,Subcompact Cars
Pontiac,Firebird/Formula,Subcompact Cars
Pontiac,Firefly,Subcompact Cars
Pontiac,Sunbird,Subcompact Cars
Rolls-Royce,Continental,Subcompact Cars
Rolls-Royce,Corniche IV,Subcompact Cars
Saab,Convertible,Subcompact Cars
Saturn,SC,Subcompact Cars
Chevrolet,Suburban K10 4WD,Special Purpose Vehicle 4WD
Subaru,Impreza,Subcompact Cars
Subaru,Impreza AWD,Subcompact Cars
Subaru,Justy,Subcompact Cars
Subaru,Justy AWD,Subcompact Cars
Subaru,SVX,Subcompact Cars
Subaru,SVX AWD,Subcompact Cars
Suzuki,Swift,Subcompact Cars
Suzuki,Swift GT,Subcompact Cars
Toyota,Celica,Subcompact Cars
Toyota,Tercel,Subcompact Cars
Volkswagen,Corrado SLC,Subcompact Cars
Acura,Legend,Compact Cars
Acura,Vigor,Compact Cars
Alfa Romeo,164,Compact Cars
Chevrolet,T10 (S10) Blazer 4WD,Special Purpose Vehicle 4WD
Audi,S4,Compact Cars
Audi,V8,Compact Cars
Audi,100,Compact Cars
Audi,100 quattro,Compact Cars
Audi,90,Compact Cars
BMW,525i,Compact Cars
BMW,530i,Compact Cars
BMW,540i,Compact Cars
Buick,Skylark,Compact Cars
Chevrolet,Beretta,Compact Cars
Chevrolet,Corsica,Compact Cars
Chrysler,LeBaron,Compact Cars
Nissan,Altima / Stanza,Compact Cars
Dodge,Shadow,Compact Cars
Ford,Escort,Compact Cars
Ford,Tempo,Compact Cars
Geo,Prizm,Compact Cars
Kia,Sephia,Compact Cars
Honda,Accord,Compact Cars
Hyundai,Elantra,Compact Cars
Dodge,AW100/AW150 Ramcharger 4WD,Special Purpose Vehicle 4WD
Hyundai,Precis,Compact Cars
Infiniti,G20,Compact Cars
Jaguar,XJ12,Compact Cars
Jaguar,XJ6,Compact Cars
Lexus,ES 300,Compact Cars
Mercury,Topaz,Compact Cars
Mercury,Tracer,Compact Cars
Mazda,Protege,Compact Cars
Mazda,323,Compact Cars
Mercedes-Benz,C220,Compact Cars
Mercedes-Benz,C280,Compact Cars
Mercedes-Benz,E320 Sedan,Compact Cars
Mercedes-Benz,E420,Compact Cars
Mercedes-Benz,E500,Compact Cars
Mercedes-Benz,S500 Coupe,Compact Cars
Mercedes-Benz,S600 Coupe,Compact Cars
Mitsubishi,Diamante,Compact Cars
Dodge,Colt Vista 4WD,Special Purpose Vehicle 4WD
Mitsubishi,Galant,Compact Cars
Oldsmobile,Achieva,Compact Cars
Plymouth,Sundance/Duster,Compact Cars
Pontiac,Grand Am,Compact Cars
Ford,Bronco II 4WD,Special Purpose Vehicle 4WD
Rolls-Royce,Continental R,Compact Cars
Saturn,SL,Compact Cars
Subaru,Legacy,Compact Cars
Subaru,Legacy AWD,Compact Cars
Volkswagen,Golf III,Compact Cars
Volkswagen,Jetta III GLX,Compact Cars
Volkswagen,Passat,Compact Cars
Ford,Bronco 4WD,Special Purpose Vehicle 4WD
Ferrari,308,Two Seaters
Dodge,Conquest,Subcompact Cars
Hyundai,Sonata (Y-3),Midsize Cars
Lexus,GS 300,Midsize Cars
Lincoln,Mark VIII,Midsize Cars
Rolls-Royce,Brooklands and (LWB),Midsize Cars
Rolls-Royce,Turbo R/Turbo Rl,Midsize Cars
Rolls-Royce,Silver Spirit III/Spur III,Midsize Cars
Saab,900,Midsize Cars
GMC,K15 Jimmy 4WD,Special Purpose Vehicle 4WD
Cadillac,DeVille/Concourse,Large Cars
Chevrolet,Caprice/Impala,Large Cars
Chrysler,New Yorker/LHS,Large Cars
Ford,Crown Victoria Police,Large Cars
GMC,K15 Suburban 4WD,Special Purpose Vehicle 4WD
Mercedes-Benz,S320,Large Cars
Mercedes-Benz,S350D,Large Cars
Mercedes-Benz,S420,Large Cars
Mercedes-Benz,S500 Sedan,Large Cars
Mercedes-Benz,S600 Sedan,Large Cars
Rolls-Royce,Silver Spur III Limousine,Large Cars
Audi,100 Wagon,Small Station Wagons
BMW,530i Touring,Small Station Wagons
GMC,T15 (S15) Jimmy 4WD,Special Purpose Vehicle 4WD
Subaru,Impreza Wagon,Small Station Wagons
Subaru,Impreza Wagon AWD,Small Station Wagons
Mercedes-Benz,E320 Wagon,Midsize-Large Station Wagons
Volvo,850 Wagon,Midsize-Large Station Wagons
Chevrolet,Caprice/Impala Wagon,Midsize-Large Station Wagons
Jeep,Cherokee/Wagoneer,Special Purpose Vehicles
Dodge,Ram 1500 Pickup 2WD,Standard Pickup Trucks
Dodge,Ram 2500 Pickup 2WD,Standard Pickup Trucks
Ford,Lightning F150 2WD,Standard Pickup Trucks
Jeep,CJ7,Special Purpose Vehicles
Mazda,B2300/B3000/B4000 Pickup 2WD,Standard Pickup Trucks
Toyota,Truck 2WD,Standard Pickup Trucks
Jeep,Grand Wagoneer,Special Purpose Vehicles
Dodge,Ram 1500 Pickup 4WD,Standard Pickup Trucks
Dodge,Ram 2500 Pickup 4WD,Standard Pickup Trucks
Mitsubishi,Montero 4WD,Special Purpose Vehicles
Mazda,B2300/B3000/B4000 Pickup 4WD,Standard Pickup Trucks
Toyota,T100 4WD,Standard Pickup Trucks
Toyota,Truck 4WD,Standard Pickup Trucks
Plymouth,Colt Vista 4WD,Special Purpose Vehicles
Subaru,Brat 4WD,Special Purpose Vehicles
GMC,Vandura G35  2WD,Vans
Subaru,Hatchback 4WD,Special Purpose Vehicles
Chevrolet,Sport Van G30  2WD,Vans
Subaru,Sedan 4WD,Special Purpose Vehicles
Chevrolet,Lumina Minivan 2WD,Special Purpose Vehicles
Subaru,Wagon 4WD,Special Purpose Vehicles
Jeep,Grand Cherokee 2WD,Special Purpose Vehicles
Honda,Passport 2WD,Special Purpose Vehicles
Suzuki,Sidekick 2Door 2WD,Special Purpose Vehicles
Subaru,XT 4WD,Special Purpose Vehicles
Suzuki,Sidekick 4Door 2WD,Special Purpose Vehicles
Suzuki,SJ 410 4WD,Special Purpose Vehicles
Suzuki,SJ 410V 4WD,Special Purpose Vehicles
GMC,Yukon K1500 4WD,Special Purpose Vehicles
Isuzu,Rodeo 4WD,Special Purpose Vehicles
Honda,Passport 4WD,Special Purpose Vehicles
Land Rover,Defender 90,Special Purpose Vehicles
Land Rover,Discovery,Special Purpose Vehicles
Chevrolet,S10 Cab Chassis 2WD,Special Purpose Vehicle 2WD
Suzuki,Sidekick 2Door 4WD,Special Purpose Vehicles
Suzuki,Sidekick 4Door 4WD,Special Purpose Vehicles
Nissan,Truck Cab Chassis 2WD,Special Purpose Vehicle 2WD
Dodge,D250 Cab Chassis 2WD,Special Purpose Vehicle 2WD
Ferrari,Ferrari F355 Berlinetta/GTS,Two Seaters
Ferrari,Ferrari F50,Two Seaters
Ferrari,Ferrari F512M,Two Seaters
Lamborghini,DB132/Diablo,Two Seaters
Dodge,Daytona,Subcompact Cars
Ford,Ranger Pickup Cab Chassis,Special Purpose Vehicle 2WD
Panoz Auto-Development,Panoz Roadster,Two Seaters
Nissan,240SX,Minicompact Cars
GMC,S15 Cab Chassis 2WD,Special Purpose Vehicle 2WD
Toyota,Celica Convertible,Minicompact Cars
BMW,M3,Subcompact Cars
BMW,840ci,Subcompact Cars
Nissan,Sentra Classic,Subcompact Cars
Nissan,Sentra/200SX,Subcompact Cars
Toyota,Cab Chassis 2WD,Special Purpose Vehicle 2WD
Ferrari,Ferrari 456 GT,Subcompact Cars
Honda,Civic CRX,Two Seaters
Jaguar,XJS V12 Convertible,Subcompact Cars
Honda,Civic CRX HF,Two Seaters
Mercedes-Benz,500SL,Two Seaters
Mitsubishi,3000 GT Spyder,Subcompact Cars
Rolls-Royce,Continental (turbo),Subcompact Cars
Rolls-Royce,Corniche S,Subcompact Cars
Saab,900 Convertible,Subcompact Cars
Maserati,Biturbo,Minicompact Cars
Saleen,Mustang S351,Subcompact Cars
Aston Martin,Lagonda,Subcompact Cars
Volkswagen,Cabrio,Subcompact Cars
Acura,2.5TL,Compact Cars
Aston Martin,Saloon/Vantage/Volante,Subcompact Cars
Audi,A6,Compact Cars
Audi,A6 quattro,Compact Cars
Audi,S6,Compact Cars
Audi,90 quattro,Compact Cars
BMW,318ti,Compact Cars
Audi,4000s quattro,Subcompact Cars
Chevrolet,Cavalier,Compact Cars
Chrysler,Sebring,Compact Cars
Dodge,Avenger,Compact Cars
Dodge,Neon,Compact Cars
Ford,Contour,Compact Cars
Chevrolet,Cavalier Convertible,Subcompact Cars
Hyundai,Accent,Compact Cars
Mercury,Mystique,Compact Cars
Mazda,Millenia,Compact Cars
Mercedes-Benz,C36,Compact Cars
Chevrolet,Chevette,Subcompact Cars
Plymouth,Neon,Compact Cars
Pontiac,Sunfire,Compact Cars
Volkswagen,GTI VR6,Compact Cars
Chrysler,Laser,Subcompact Cars
Volvo,960,Compact Cars
Chevrolet,Lumina/Monte Carlo,Midsize Cars
Chrysler,Cirrus,Midsize Cars
Dodge,Stratus,Midsize Cars
Ford,Taurus FFV,Midsize Cars
Oldsmobile,Aurora,Midsize Cars
Rolls-Royce,Flying Spur,Midsize Cars
Rolls-Royce,Spirit III/Spur III/Dawn,Midsize Cars
Rolls-Royce,Turbo R/Rl Bklds Turbo/LWB,Midsize Cars
Ford,EXP,Two Seaters
Dodge,600 Convertible,Subcompact Cars
Nissan,Pulsar/Pulsar-NX,Subcompact Cars
Cadillac,Seville,Large Cars
Dabryan Coach Builders Inc,WB,Large Cars
Federal Coach,Eagle,Large Cars
Federal Coach,Formal,Large Cars
Federal Coach,Six Door,Large Cars
Federal Coach,Windsor,Large Cars
Federal Coach,24E,Large Cars
Federal Coach,85J,Large Cars
Federal Coach,Lincoln Eagle/Windsor,Large Cars
Federal Coach,Lincoln Eaton,Large Cars
Federal Coach,Lincoln 100J,Large Cars
Federal Coach,Lincoln 24E,Large Cars
Federal Coach,Lincoln 85J,Large Cars
Ford,Crown Victoria,Large Cars
Mercedes-Benz,S350,Large Cars
Toyota,Avalon,Large Cars
Audi,A6 quattro Wagon,Small Station Wagons
Audi,A6 Wagon,Small Station Wagons
Audi,S6 Wagon,Small Station Wagons
Nissan,200SX,Subcompact Cars
Volvo,960 Wagon,Small Station Wagons
Honda,Odyssey,Midsize-Large Station Wagons
Subaru,Legacy Wagon,Midsize-Large Station Wagons
Subaru,Legacy Wagon AWD,Midsize-Large Station Wagons
Mitsubishi,Truck 4WD,Small Pickup Trucks
Toyota,Tacoma 2WD,Small Pickup Trucks
Honda,Accord,Subcompact Cars
Ford,Laser,Subcompact Cars
Toyota,Tacoma 4WD,Standard Pickup Trucks
Nissan,Pathfinder Van (cargo),Vans
Dodge,B1500/B2500 Van 2WD,Vans
Dodge,B3500 Van 2WD,Vans
Isuzu,I-Mark,Subcompact Cars
Dodge,B1500/B2500 Wagon 2WD,Vans
Dodge,B3500 Wagon 2WD,Vans
Isuzu,Impulse,Subcompact Cars
Volkswagen,Eurovan Camper,Vans
Chevrolet,Blazer 2WD,Special Purpose Vehicles
Chevrolet,Tahoe 1500 2WD,Special Purpose Vehicles
Mercury,Capri,Subcompact Cars
Ford,Windstar FWD Van,Special Purpose Vehicles
Ford,Windstar FWD Wagon,Special Purpose Vehicles
Federal Coach,Heritage,Special Purpose Vehicles
Federal Coach,Renaissance,Special Purpose Vehicles
Federal Coach,Lincoln Stratford,Special Purpose Vehicles
Kia,Sportage 2WD,Special Purpose Vehicles
GMC,Yukon 1500 2WD,Special Purpose Vehicles
Mazda,GLC,Subcompact Cars
Mitsubishi,Cordia,Subcompact Cars
Chevrolet,Blazer 4WD,Special Purpose Vehicles
Chevrolet,Tahoe 1500 4WD,Special Purpose Vehicles
Kia,Sportage 4WD,Special Purpose Vehicles
Mitsubishi,Tredia,Subcompact Cars
Land Rover,Range Rover,Special Purpose Vehicles
